,Season,Round,Venue,Kick_Off_Time,Home_Team,Home_Score,Home_ELO,Home_Completion,Home_Tackle,Away_Team,Away_Score,Away_ELO,Away_Completion,Away_Tackle
74,2023,Round 10,Suncorp Stadium,2023-05-06,Warriors,6,890.3797566546359,85.0,81.9,Panthers,18,1186.0852987987587,85.0,84.76
75,2023,Round 10,Suncorp Stadium,2023-05-06,Sharks,16,1125.1848394797603,66.0,87.25,Dolphins,36,1014.4014949461179,85.0,89.66
76,2023,Round 10,Suncorp Stadium,2023-05-06,Storm,12,1080.3903036253494,80.0,92.25,Rabbitohs,28,1207.5247666245757,76.0,86.19
77,2023,Round 10,Suncorp Stadium,2023-05-07,Wests Tigers,18,706.4000161755579,86.0,87.47,Dragons,16,885.6132503850031,72.0,87.13
78,2023,Round 10,Suncorp Stadium,2023-05-07,Roosters,6,1136.3801627385083,68.0,86.57,Cowboys,20,967.3036614236212,78.0,86.28
79,2023,Round 10,Suncorp Stadium,2023-05-07,Titans,26,901.6185985388557,89.0,86.79,Eels,24,1079.4007015774105,85.0,84.59
80,2023,Round 11,AAMI Park,2023-05-11,Storm,24,1062.5268519886793,86.0,87.53,Broncos,16,1109.0471521951451,79.0,89.51
81,2023,Round 11,Accor Stadium,2023-05-12,Bulldogs,12,864.5677548180518,80.0,88.61,Warriors,24,881.9000869827388,81.0,81.97
82,2023,Round 11,BlueBet Stadium,2023-05-12,Panthers,48,1194.564968470656,89.0,84.55,Roosters,4,1096.462631148566,68.0,87.63
83,2023,Round 11,Accor Stadium,2023-05-13,Rabbitohs,20,1225.3882182612458,85.0,93.68,Wests Tigers,0,746.9478101121881,86.0,90.26
84,2023,Round 11,Queensland Country Bank Stadium,2023-05-13,Cowboys,42,1007.2211930135633,71.0,90.4,Dragons,22,845.0654564483729,63.0,88.72
85,2023,Round 11,GIO Stadium,2023-05-13,Raiders,26,1102.5822399592953,83.0,90.31,Eels,18,1038.9408546290686,68.0,90.08
86,2023,Round 11,McDonald Jones Stadium,2023-05-14,Knights,46,829.7888227658742,82.0,87.61,Titans,26,942.0784454871978,69.0,84.74
87,2023,Round 11,4 Pines Park,2023-05-14,Sea Eagles,14,913.3311792934768,85.0,86.3,Sharks,20,1089.201753564838,82.0,90.87
88,2023,Round 12,Suncorp Stadium,2023-05-18,Broncos,4,1077.8868551127466,78.0,86.65,Panthers,15,1214.5000199744243,84.0,84.85
89,2023,Round 12,Netstrata Jubilee Stadium,2023-05-19,Dragons,24,829.5429915366133,76.0,89.17,Roosters,22,1076.5275796447977,70.0,89.0
90,2023,Round 12,Allianz Stadium,2023-05-19,Rabbitohs,16,1228.6801961211618,70.0,85.71,Eels,36,1016.4225642180078,78.0,90.13
91,2023,Round 12,C.ex Coffs International Stadium,2023-05-20,Sharks,26,1103.8599088369629,65.0,87.57,Knights,6,865.8796428589167,67.0,86.63
92,2023,Round 12,Leichhardt Oval,2023-05-20,Wests Tigers,66,743.655832252272,93.0,88.12,Cowboys,18,1022.7436579253229,70.0,82.6
93,2023,Round 12,Suncorp Stadium,2023-05-20,Dolphins,16,1050.3845808610401,72.0,88.77,Storm,24,1093.6871490710778,89.0,86.53
94,2023,Round 12,Accor Stadium,2023-05-21,Bulldogs,20,838.438495611861,85.0,81.4,Titans,18,905.9876253941553,84.0,87.53
95,2023,Round 12,GIO Stadium,2023-05-21,Raiders,14,1125.1005303703562,66.0,83.77,Sea Eagles,42,898.6730240213521,68.0,82.53
96,2023,Round 13,Kayo Stadium,2023-05-25,Dolphins,26,1026.2944005351928,88.0,87.14,Dragons,12,873.8517506007648,82.0,91.26
97,2023,Round 13,CommBank Stadium,2023-05-26,Eels,24,1058.9039869696255,75.0,88.97,Cowboys,16,976.9323399375162,83.0,90.72
98,2023,Round 13,McLean Park,2023-05-27,Warriors,22,908.0293461889296,70.0,88.89,Broncos,26,1060.6751367420347,80.0,83.98
99,2023,Round 13,Accor Stadium,2023-05-27,Rabbitohs,26,1186.198773369544,89.0,89.1,Raiders,33,1081.8479664529261,84.0,96.14
100,2023,Round 13,McDonald Jones Stadium,2023-05-28,Knights,28,854.7348806771687,84.0,89.18,Sea Eagles,18,941.9255879387822,90.0,85.03
101,2023,Round 14,Campbelltown Sports Stadium,2023-06-02,Wests Tigers,19,789.4671502400787,73.0,91.82,Raiders,20,1117.367764046823,78.0,83.45
102,2023,Round 14,Go Media Stadium,2023-06-03,Warriors,30,891.8897455813501,74.0,91.48,Dolphins,8,1042.4473392647017,79.0,92.29
103,2023,Round 14,Cbus Super Stadium,2023-06-03,Titans,28,873.207383587135,78.0,89.5,Rabbitohs,46,1150.6789757756471,80.0,90.97
104,2023,Round 14,PointsBet Stadium,2023-06-03,Sharks,12,1115.004671018711,70.0,83.74,Broncos,20,1076.8147373496142,78.0,85.2
105,2023,Round 14,Industree Group Stadium,2023-06-04,Roosters,25,1032.218820580646,77.0,92.04,Bulldogs,24,871.2187374188812,82.0,86.43
106,2023,Round 14,Queensland Country Bank Stadium,2023-06-04,Cowboys,45,955.8027419629568,82.0,85.42,Storm,20,1117.777329396925,78.0,85.4
107,2023,Round 14,BlueBet Stadium,2023-06-04,Panthers,26,1231.7117383451362,86.0,88.25,Dragons,18,857.698811871256,75.0,90.82
108,2023,Round 15,Cbus Super Stadium,2023-06-08,Titans,28,863.9472737696431,83.0,81.82,Wests Tigers,12,782.2333117469395,70.0,88.21
109,2023,Round 15,GIO Stadium,2023-06-09,Raiders,14,1124.601602539962,70.0,90.41,Warriors,36,930.6127284693638,75.0,85.91
110,2023,Round 15,4 Pines Park,2023-06-09,Sea Eagles,58,907.6656426271104,80.0,92.01,Dolphins,18,1003.724356376688,83.0,89.57
111,2023,Round 15,Netstrata Jubilee Stadium,2023-06-10,Dragons,36,851.9759512114697,75.0,82.7,Rabbitohs,30,1159.939085593139,78.0,86.22
112,2023,Round 15,Suncorp Stadium,2023-06-10,Broncos,24,1107.3254071309761,80.0,86.28,Knights,20,888.9948259888405,78.0,80.09
113,2023,Round 15,Allianz Stadium,2023-06-10,Roosters,6,1047.8155120558695,72.0,87.13,Panthers,30,1237.4345990049223,71.0,84.04
114,2023,Round 15,AAMI Park,2023-06-11,Storm,54,1078.3114151768395,78.0,84.84,Sharks,10,1084.494001237349,63.0,79.29
115,2023,Round 15,Accor Stadium,2023-06-12,Bulldogs,12,855.6220459436577,80.0,79.63,Eels,34,1080.033584944185,65.0,79.29
116,2023,Round 16,Queensland Country Bank Stadium,2023-06-16,Cowboys,27,995.2686561830423,84.0,83.37,Panthers,23,1251.2577104543705,80.0,89.77
117,2023,Round 16,McDonald Jones Stadium,2023-06-17,Knights,16,876.8110498767522,66.0,87.36,Roosters,18,1033.9924006064214,72.0,89.32
118,2023,Round 16,CommBank Stadium,2023-06-17,Eels,34,1091.8885863897942,79.0,92.25,Sea Eagles,4,942.5808356327337,66.0,84.56
119,2023,Round 16,Campbelltown Sports Stadium,2023-06-17,Wests Tigers,6,761.0844088397233,72.0,91.42,Storm,28,1106.3007236408703,82.0,83.94
120,2023,Round 16,PointsBet Stadium,2023-06-18,Sharks,48,1056.5046927733183,74.0,81.98,Bulldogs,10,843.7670444980482,78.0,84.18
121,2023,Round 17,WIN Stadium,2023-06-23,Dragons,18,898.9901074330687,70.0,86.21,Warriors,48,972.0483082667654,72.0,87.87
122,2023,Round 17,Sunshine Coast Stadium,2023-06-24,Dolphins,20,968.8091633710646,63.0,87.35,Eels,48,1108.2481746360506,81.0,88.38
123,2023,Round 17,BlueBet Stadium,2023-06-24,Panthers,20,1206.5095644175142,90.0,81.87,Knights,12,860.9675664863395,62.0,83.76
124,2023,Round 17,AAMI Park,2023-06-24,Storm,24,1112.9310159543343,79.0,87.17,Sea Eagles,6,926.2212473864774,76.0,87.18
125,2023,Round 17,Suncorp Stadium,2023-06-25,Broncos,12,1119.5091832430644,80.0,86.61,Titans,18,885.0961766768593,80.0,81.41
126,2023,Round 17,Accor Stadium,2023-06-25,Rabbitohs,6,1112.92492937154,67.0,89.27,Cowboys,31,1040.0168022198986,84.0,88.47
127,2023,Round 17,Allianz Stadium,2023-06-25,Roosters,18,1049.8358839968341,80.0,85.86,Raiders,20,1083.1660227425605,82.0,91.25
